Driver,Circuit,Starts,Avg Grid,Avg Finish,Median Grid,Median Finish,Best Grid,Best Finish,Podiums,Wins,DNF %,Years Active At Circuit
Alexander Albon,Albert Park (Australia),5,11.8,10,12,10.5,6,5,0,0,20,2019-2025
Alexander Albon,Autodromo Hermanos Rodriguez (Mexico),5,12.4,9.5,14,10.5,5,5,0,0,20,2019-2025
Alexander Albon,Autodromo Jose Carlos Pace (Interlagos),5,11.2,13.33,12,14,5,11,0,0,40,2019-2025
Alexander Albon,Autodromo Nazionale di Monza,5,9.2,8.8,9,7,6,6,0,0,0,2019-2025
Alexander Albon,Bahrain International Circuit,6,12.17,10.33,13.5,11,4,3,1,0,0,2019-2025
Alexander Albon,Baku City Circuit,5,13.6,11,12,12,9,7,0,0,0,2019-2025
Alexander Albon,Circuit Gilles Villeneuve (Canada),5,10.6,10,10,10,9,7,0,0,60,2019-2025
Alexander Albon,Circuit Zandvoort,4,13.25,9.75,15,10,4,5,0,0,0,2022-2025
Alexander Albon,Circuit de Barcelona-Catalunya,6,14,14.2,14.5,16,6,8,0,0,16.7,2019-2025
Alexander Albon,Circuit de Monaco,5,11.6,10,10,9,9,8,0,0,20,2019-2025
Alexander Albon,Circuit de Spa-Francorchamps,6,9.67,8.83,8,8,5,5,0,0,0,2019-2025
Alexander Albon,Circuit of the Americas (Austin),5,12.2,11.4,14,13,6,5,0,0,0,2019-2025
Alexander Albon,Hungaroring,6,15,12,14.5,12.5,12,5,0,0,0,2019-2025
Alexander Albon,Jeddah Corniche Circuit (Saudi Arabia),4,14,11.33,14,11,11,9,0,0,25,2022-2025
Alexander Albon,Las Vegas Strip Circuit,3,12.67,12,16,12,5,12,0,0,66.7,2023-2025
Alexander Albon,Lusail International Circuit (Qatar),3,14.33,13,14,13,13,11,0,0,0,2023-2025
Alexander Albon,Marina Bay Street Circuit (Singapore),5,13.8,10.33,14,11,6,6,0,0,40,2019-2025
Alexander Albon,Miami International Autodrome,4,12.5,11.5,12.5,11.5,7,5,0,0,0,2022-2025
Alexander Albon,Red Bull Ring (Austria),7,11.57,11.67,12,12.5,4,4,0,0,14.3,2019-2025
Alexander Albon,Shanghai International Circuit (China),3,14.67,9.67,14,10,10,7,0,0,0,2019-2025
Alexander Albon,Silverstone Circuit,7,10.86,8.33,9,8,8,5,0,0,14.3,2019-2025
Alexander Albon,Suzuka Circuit (Japan),5,11.6,6.5,13,6.5,6,4,0,0,60,2019-2025
Alexander Albon,Yas Marina Circuit (Abu Dhabi),6,13,10.67,15.5,12,5,4,0,0,0,2019-2025
Andrea Kimi Antonelli,Albert Park (Australia),1,16,4,16,4,16,4,0,0,0,2025
Andrea Kimi Antonelli,Autodromo Hermanos Rodriguez (Mexico),1,6,6,6,6,6,6,0,0,0,2025
Andrea Kimi Antonelli,Autodromo Jose Carlos Pace (Interlagos),1,2,2,2,2,2,2,1,0,0,2025
Andrea Kimi Antonelli,Autodromo Nazionale di Monza,1,6,9,6,9,6,9,0,0,0,2025
Andrea Kimi Antonelli,Bahrain International Circuit,1,5,11,5,11,5,11,0,0,0,2025
Andrea Kimi Antonelli,Baku City Circuit,1,4,4,4,4,4,4,0,0,0,2025
Andrea Kimi Antonelli,Circuit Gilles Villeneuve (Canada),1,4,3,4,3,4,3,1,0,0,2025
Andrea Kimi Antonelli,Circuit Zandvoort,1,11,16,11,16,11,16,0,0,0,2025
Andrea Kimi Antonelli,Circuit de Barcelona-Catalunya,1,6,N/A,6,N/A,6,N/A,0,0,100,2025
Andrea Kimi Antonelli,Circuit de Monaco,1,15,18,15,18,15,18,0,0,0,2025
Andrea Kimi Antonelli,Circuit de Spa-Francorchamps,1,19,16,19,16,19,16,0,0,0,2025
Andrea Kimi Antonelli,Circuit of the Americas (Austin),1,7,13,7,13,7,13,0,0,0,2025
Andrea Kimi Antonelli,Hungaroring,1,15,10,15,10,15,10,0,0,0,2025
Andrea Kimi Antonelli,Jeddah Corniche Circuit (Saudi Arabia),1,5,6,5,6,5,6,0,0,0,2025
Andrea Kimi Antonelli,Las Vegas Strip Circuit,1,17,3,17,3,17,3,1,0,0,2025
Andrea Kimi Antonelli,Lusail International Circuit (Qatar),1,5,5,5,5,5,5,0,0,0,2025
Andrea Kimi Antonelli,Marina Bay Street Circuit (Singapore),1,4,5,4,5,4,5,0,0,0,2025
Andrea Kimi Antonelli,Miami International Autodrome,1,3,6,3,6,3,6,0,0,0,2025
Andrea Kimi Antonelli,Red Bull Ring (Austria),1,9,N/A,9,N/A,9,N/A,0,0,100,2025
Andrea Kimi Antonelli,Shanghai International Circuit (China),1,8,6,8,6,8,6,0,0,0,2025
Andrea Kimi Antonelli,Silverstone Circuit,1,10,N/A,10,N/A,10,N/A,0,0,100,2025
Andrea Kimi Antonelli,Suzuka Circuit (Japan),1,6,6,6,6,6,6,0,0,0,2025
Andrea Kimi Antonelli,Yas Marina Circuit (Abu Dhabi),1,14,15,14,15,14,15,0,0,0,2025
Carlos Sainz,Albert Park (Australia),9,8.33,8.17,8,9,2,1,1,1,33.3,2015-2025
Carlos Sainz,Autodromo Hermanos Rodriguez (Mexico),10,7,9.38,7.5,9.5,1,1,1,1,20,2015-2025
Carlos Sainz,Autodromo Jose Carlos Pace (Interlagos),10,12,7.5,12.5,6,3,3,2,0,20,2015-2025
Carlos Sainz,Autodromo Nazionale di Monza,11,9.73,7.8,7,7,1,2,2,0,9.1,2015-2025
Carlos Sainz,Bahrain International Circuit,11,8.64,7.43,8,5,3,2,2,0,36.4,2015-2025
Carlos Sainz,Baku City Circuit,8,6.38,7.71,4.5,7,2,3,1,0,12.5,2017-2025
Carlos Sainz,Circuit Gilles Villeneuve (Canada),9,11.78,8.14,11,9,3,2,1,0,22.2,2015-2025
Carlos Sainz,Circuit Zandvoort,5,6.8,7.6,6,7,3,5,0,0,0,2021-2025
Carlos Sainz,Circuit de Barcelona-Catalunya,11,7.91,7.18,7,7,2,4,0,0,0,2015-2025
Carlos Sainz,Circuit de Monaco,10,7.3,6.5,6,7,2,2,3,0,0,2015-2025
Carlos Sainz,Circuit de Spa-Francorchamps,11,10.73,9.67,11,10,1,3,1,0,45.5,2015-2025
